 诺基亚5230	 2013-04-17 230903	 省电，相对安卓。然后就没了。。。。	 好慢，扫描500多首歌用了10分钟。。。我去，软件安装也慢，反正一个字，慢。但是考虑到400mhz的U达到这样的水平我应该写到优点里去吧，	 诺基亚放弃塞班真不明智，塞班继续改改，还是能够非常好用的，可惜现在诺基亚越来越烂了
 诺基亚5230	 2012-01-04 114542	 屏幕很大 很清晰 系统 功能基本上够我用 性价比很高 摔过好几次都没事	 会有死机 花屏的情况 时间长了后触屏不是很灵敏	 适合女生用 我现在用的是白色 个人认为很好看 也值这个价钱
 诺基亚5230	 2012-01-01 173630	 质量确实好，但是非要用力的按才能操作手机，不能像安卓手机那样，轻轻摸一下就能触动。作为智能机的低端机不知得考虑。	 总之这款机器不知得现在购买，以前还行，现在不行了，况且还买这么贵。花1000多块钱买个256,128的，冤不冤啊！去买安卓的吧，或是买诺基亚wp系统，安卓的apk格式软件也能安装的。兼容，要是我宁愿买诺基亚有键盘的非智能机器，也不会考虑这款	 却对不行的。09年的产品现在购买不值得。
 诺基亚5230	 2011-12-22 224058	 上网速度不错，信号清楚，屏幕显示清晰，对于电阻屏来说反应算灵敏的，性价比是没的说	 音乐外放不给力（毕竟不是音乐手机），程序运行多了有点卡，没闪光灯，偶尔死机花屏（通病）	 选择塞班系统的人应该主要是为了追求稳定，不多说了，继5800后的又一杰作，可玩性可以说是不怎么样，但是如果机油们是为了可玩性大可选择安卓系统，不过就良心说句，现在好多手机连最基本的信号功能都缩水，真的是很无语，总之一句话，一款不错的机子
 诺基亚5230	 2011-12-06 191007	 其实诺基亚的机一直蛮好的啊，分辨率和灵敏度什么的都蛮好的，像素200也蛮清楚的，说实话，塞班系统也没什么不好拉，特别是女生用完全够了，重点这个机子分辨率很高哦，其实简单就好，现在的安卓什么的下个东西烦得要使，唉~~~质量各方面都不错~~~外观也蛮好看的 还有一个小显示灯可以显示有未接来电和信息呀，这一点大爱哦，希望诺记以后继续努力，出一些更好的啊~~~	 切水果的感觉和安卓不一样吧，好像没那么有质感，解锁键设计的不太喜欢	 总体上还不错啦，如果塞班机下载软件部要证书就好乐~~~~
 诺基亚5230	 2011-12-04 231608	 俺就不想说优点了 大家都懂的	 用了不到一个月，没摔没进水，死机，花屏，电池发热。返厂修好以后，又用了一个月吧，再次出现花屏死机，就再也开不了机。修好以后，屏幕成了红色~~~~~~~~好吧，将就着用，又用了大概俩个用，彻底不行了~~~	 我严重无语，买的行货，而且是全国联保的，送去修时还花了我俩百大洋。我是七月份买的，用到了九月份就出现一系列情况，直到十一月份就报废了。这是俺使用寿命最短的一部手机！强烈建议大家不要买，我到网上一搜，发现无数网友跟我一个情况，现在的诺基亚咋就成这样了呢！
 诺基亚5230	 2011-11-27 230859	 上网不错 价格也可以 屏幕很清晰 触屏灵敏	 摄像头像素低了点 电池不够用 没闪光灯	 性价比 还可以的  不太追求时髦 这款手机值得考虑
 诺基亚5230	 2011-11-26 225537	 很稳定很实用。摔几次都没事（好吧，其实我是给他套上个全封式软胶套套）……刷DIY固件后速度更快什么的。。……用电持久（只要程序开不多，没安装了很耗电的程序，新刷机后什么没安装效果明显）……屏幕很好，反应很好，指甲触摸即可，显示效果也很好，亮度全开效果超棒的。	 摄像头无自动聚焦（拍二维码和用摄像头取字查字典很不方便），不支持wifi，系统程序就占内存至少3/4（玩游戏什么的最好关掉其它的）……喇叭不好（好吧……这不是音乐手机也不能算缺点），不太美观（诺基亚通病），而且机身很厚……屏幕640*360………………	 很耐用的机子，适合平南实验中学以外的学生用……浏览下网页什么的也是可以的……
 诺基亚5230	 2011-11-26 105157	 屏幕大，看书上网都挺方便。电池续航不错，不玩游戏，2到3天一充。质量很好。	 看视频不太流畅，写博客内容输入太多之后速度明显变慢。	 机子属于大众化的，便宜，质量好。至于进灰尘，冬天花屏，死机，我想这些都是人为因素，和机器本身无关，如果是在相当恶劣的环境下使用，我建议您还是选择三防机子吧。冬天的话，兜里揣着我相信体温可以让机器正常运转，没有花屏现象。
 诺基亚5230	 2011-11-25 074202	 以下内容以中兴V880和5230做对比系统稳定。就是GBA模拟器、看视频的时候偶尔会死机操作方便   我觉得比安卓好的就是 闹钟关机也可以响，蓝牙可以传输文件，后台程序也比安卓好也不是完全没优点	 1：刷机麻烦。至少V880不怕刷死也很难刷死  心理承受能力减轻了不少  看见好的刷机包马上就可以刷而且2分钟搞定 2：软件少 ， 实用软件就更少了，比如 二维码、当然至把手机当上网用的也满足了3：游戏......这点简直没比较头4：看视频就连MP4格式也不给力。每次还要用转换器转换，5：价格一直都很贵，没有买头。1000 还不如换V8806：用过安卓以后才知道二者的差距，只可意会不可言传啊	 无wifi、无闪光灯、无前置摄像头  而且现在都还这么贵，我看诺基亚是想钱想疯了八个月前以1100价格买的水货。前几天以500卖了买了的V880用了安卓以后才知道塞班完全木有可比性
 诺基亚5230	 2011-11-21 173206	 1 耐用 2 美观大方（个人感觉）3 今年7月份入手 1个月玩转刷机破解 DIY无鸭梨 4 诺基亚手机神话经典5 适合中学生使用	 1 无wifi2 cpu频率过低3 塞班被安卓挤得没地方生存了 软件游戏太少了 大一点的如水果运行起来 很无奈	 性价比高 但不建议购买了 已经是老人了 1500左右的价格真的可以买个更好的安卓机了
 诺基亚5230	 2011-11-21 132952	 性价比非常高，几乎很少出问题，S5现在也有很多实用软件。而且一贯的耐摔= =我的手机掉在呕吐物里5次，捞出来洗了还能用，无敌了- -用过一段索爱，觉得还是诺基亚系统够快，打字够快。入手时1500，现在还差不多价格，非常值得。	 没有闪光灯，没有wifi，其他都可以接受	 还是喜欢nokia
 诺基亚5230	 2011-11-15 174122	 没有优点，只有缺点。	 今年,省吃省穿的,从易购手机网买了一部诺基亚5230,刚买来回家玩，就花屏，也没在意，用了一个月问题接二连三出现，上不了网，打电话有噪音,经常死机	 用着很想摔...
 诺基亚5230	 2011-11-07 172220	 09年上市，至今还在销售，没有停产，这就证明了nokia这款手机的经典，外型不错，在湖南2010年的时候感觉人手一部样的，在哪里都能看见5230	 开始说接近完美，有三点没达到，该手机无闪光灯、无wify、屏幕分辨率看电影还是觉得不够大。200W像素如果陪闪光灯确实有点浪费，所以还可以理解，但是手机如果能支持无线这个手机就很好了，至于分辨率是诺基亚的通病，除非高端机，一般很难见达到400*800分辨率的机型	 总之手机很经典，很完美，事实摆在眼前
 诺基亚5230	 2011-11-05 002042	 性价比高,这个不用我多说了.真的很抗摔,一年里被摔不下百次,也只是少数地方有刮痕,然后换外壳也方便,到处都有买.耐用.触屏.现在S60v5也出了免签证破解软件,破解之后可以安装字体	 塞班的辉煌即将成为历史.三大智能操作系统就塞班最不智能.软件跟安卓比那真一个少字.	 个人建议,现在还是入手摩托罗拉戴妃的比较好.
 诺基亚5230	 2011-10-31 101539	 <span class="nocon">无填写</span>	 用个一年多了，最近老是出现花屏现象，上网查了下才知道是硬件问题，貌似温度太低了容易出现花屏  冬天 还咋用啊	 总体其他 都美什么大问题
 诺基亚5230	 2011-10-11 220907	 性价比极高，相对同级别的智能手机来说价格便宜，聚划算。诺基亚的耐用，不怕摔。我的买来掉地上不下5、6次，还依旧好用，信号也很好，S60 v5支持软件丰富多样，非常适合学生用，可下载多种的资料。	 1.太厚了，放口袋不方便。2、支持的游戏没有安卓的多，没它的好看。3.太滑了，要拿手机绳才不会经常掉地上。4.内存小了点，有时候用久了会卡。5.电池不耐用。一天就没	 总的来说，这个价格是非常不错的一款手机，前置摄像头和wifi什么的，基本上用不着。有很多的软件sisx格式的，病毒少，用的放心。上网，打电话，挂QQ都很给力。但跟2000价位以上的基本没得比，现在很想买安卓的，但5230买了也不后悔，非常实用
 诺基亚5230	 2011-09-13 230742	 1. 一切电话该有的功能都正常，稳定。（这点我个人认为很重要）	 1.外放喇叭偶然有破音，这点让我这个音乐迷很不爽。	 我是今年3月份1400入手的行货，跟其他人对比了下发现买贵了。但小舞至今的表现还是相当让我满意的。因为我是一个很怕麻烦的人，根本就不想花心思去研究刷机之类的麻烦事，很害怕手机出问题了会带来的麻烦事。说白了就是想用那些功能小舞都有了，而且它又不用我去花心思去折腾它。这点让我很喜欢，以至于现在我还不想换它。
 诺基亚5230	 2011-08-29 181433	 S60V5系统3.2英寸全触屏，360X640的分辨率，彩壳版有送两个彩壳（不知道现在还有没有），正常运行基本流畅，价格便宜，不易过时。纯待机的话可以3天不充电！	 屏幕和机身容易划伤，后盖很差，拔的多了会松动，国货只有白色（好像现在有黑色的了），摄像头没有LED补光灯，200万像素略少，数据线难以想象的短，电量显示有问题，不支持WIFI，没有其他诺基亚手机的坚固，系统用久了容易死机！	 用了一年多，总体还可以，上网，装软件，玩游戏很方便，但是有几个大问题，总之现在不推荐入手，1000多元可以考虑其他机型！
 诺基亚5230	 2011-08-22 182402	 样子挺好看的，甘买回来的时候，感觉很爽YY，价钱很值得，上网还算快，	 像素低，没闪光灯，没自动对焦，应用程序开的多就会卡，喇叭不够大声，2G内存觉得不是很够用，刚开始电池还可以玩3天，现在只能用一天半。	 还是很好，挺值得、
 苹果iPhone 5（32GB）	 2012-10-18 020512	 屏幕大了些，密度/分辨率也提高了，手感也好了不少。还有的就是具有独一专利的面部检测功能。	 价格高，像素还一鸟样...	 还好啦！拿出来‘晒’挺尊贵，不过这不是我的选择。喜欢时尚的朋友可以看下国产oppo5：寸5.0，分辨率19201080,四核1.5高通主频，索尼1200w摄像头，密度441p,全高清拍摄，安卓4.1，ips屏…除了系统以外，怎么看怎么比也赶不上这款国产‘时尚神器’!支持国产！
 苹果iPhone 5（32GB）	 2012-09-23 004423	 1)系统好大家都知道，个人觉得苹果卖的就是系统，从来没有跟人家强比过硬件。2)耳机移到下部也挺好的，至少我觉得当把手机装进口袋听歌的时候不用把手机再倒过来了。3)耳机听说相对比上代的进步不少。	 价格太高，呵呵。。改成宽屏后不知道后续的软件（游戏）是否跟着把显示模式调整。不然估计图像会变形。	 iphone5个人觉得还是不错的，虽说有点点失望但是也是可以接受的。请大家不要那配置来跟苹果比好不？分是跑的很高，但是总体体验呢？软件兼容性好吗？安卓系统是不错，但是用安卓系统的手机千奇百样，同样的软件不同的手机。。效果就不用说了吧。。3GS cpu才660MHz，但是至今只有少部分大型游戏运很行卡。嗯。。总体大家自己掂量。 不对之处大侠本再拍砖，不要吐槽哈。。。
 苹果iPhone 5（32GB）	 2012-09-13 125624	 A6U，屏幕变4.0，三个喇叭，	 仅仅是屏幕拉长了，外观凑乎，像素没有提升，木有新意。	 总的来说这5就是4S的加长版，唯一一点就是屏幕拉长到4.0，分辨率4s已经是人眼难辩的极致了，5的分辨率还有必要吗？三个喇叭一般人真的有必要吗？像素和4S一样还是800W，而且耳机口还是在下面，我觉得还是在上面好。而且4S也能够升级到OS6，5能用的软件功能4S完全可以用。硬件方面5只比4s提升了两倍，个人感觉没有多大价值。就拿看电影吧，仅仅是加长的屏幕感觉人物要被压扁。还有新出的比MINI卡还小的卡，联通和电信有合约机，但是移动没有合约估计它不会出专门的卡，别的没有什么新意。就这样吧。
 苹果iPhone 5（32GB）	 2012-07-30 200323	 够薄，功能强悍是必不可少的，更取向智能化，美观的体现掠夺人们的视线，年轻人懒以标榜的华丽品....	 智能化能加入对人类的医学护理甚好，屏目可以尽量覆盖整屏，全虚拟手工操作，如此以来堪称完美....	 个人认为，此机已是潮流中的佼佼者，但不久的将来回头再看时，它只不过是个跳跳板....科技在飞速发展，人类的视野也在迅猛拓展，让世界再运转快些吧
 苹果iPhone 5（32GB）	 2013-05-09 210818	 拍照清楚，外形时尚，没有诺基亚920拍照清晰，没有小米2S分辨率高（1280*720），没有华为中兴600元的手机屏幕大（4.5寸），伪后台（听音乐时不能发信息，这功能10年前的山寨机非智能机都可以），没有500元的安卓机的多任务爽，电池不能换，待机时间短，随便上上网都撑不了一天，桌面4年没换了，看的都腻了，铝合金一摔就变形，说什么CPU内存不重要，可为什么IPHONE 4玩的游戏卡的不行，IPHONE 5就不卡。.	 蓝牙只能听歌，本身不支持传东西（这功能10年前的山寨机非智能机都可以，无语），只支持MP4，码率还不能高了，不如10年前的诺基亚。连电脑贼麻烦，拷东西难上难。在一台电脑同步之后，再在另一台电脑同步的话会抹掉以前的数据，这个从ipod就传下来的习惯几乎让我抓狂!对于App，还可以用传输己购项目的方式来解决，但是对于图片、视频或者歌曲就近乎是一场恶梦了。内置输入法极不方便，还不能手写，真无语了。快捷设置极差，例如Android可以在主页面放置很多applet，非常快捷关闭或者开启3G数据连接，Wifi连接，GPS等等，几乎所有的功能都可以通过这种方式来开启或关闭。iOS在这一点上近乎弱智。连一个最基本的电话功能：将来电号码的某个号码修改后拨出的功能都没有，要知道这是手机是基本的功能啊。居然不能直接将MP3设为铃声，这也能叫手机?	 苹果的手机只是个玩具，给老婆玩玩还可以，干别的真心弱智，本来就是个功能机，非要说自己是智能机，不能后台也叫智能机，哎，无语了
 苹果iPhone 5（32GB）	 2013-05-07 105849	 1、个人觉得外观比前一代好看修长的机身很有型；2、很流畅，无卡顿的情况，这一点是大多数安卓机做不到的；3、拍照效果好，成像速度快百度天熊数码首页；4、icloud的确很好；6、iMessage很好用，与是苹果的都可以流量来发短信；5、siri支持中文找天熊那拿才两千元	 没有越狱，没有快捷键，确实没有安卓操作灵活。机壳软，只要不带保护壳，磕碰就会留印子，容易刮花，喜欢丢三落四的最好别买，或者买套。本人白色未发现有掉漆现象，黑色的，我看过确实会掉漆内存文件管理要第三方软件才能弄，蓝牙不能连接其他牌子的手机。不能支持flash，有少数视频网站不能播放视频（国内还没有发现），5只能用nano卡，还有好多程序只支持到3.5寸的屏幕。iphone5用上了就有上下两条黑边。苹果公司还好只加长了，要是加宽了，那不是就是一个黑框了。	 外观精美，ios软件多多。有些软件确实比安卓精致，数据线做了改进确实不错，运行游戏程序快，流畅。拍照算是走在目前手机的前沿。还有全景模式相机。对1440毫安电池来说，iphone5确实待机真的很不错，每天接几个电话，可以待机2天。发热是安卓机的通病，在iphone5身上确实也有发热，是玩大型3D游戏，但是发热确实真的不像安卓机那样烫手的温度，看视频没有感觉到丝毫的发热现象。
 苹果iPhone 5（32GB）	 2013-05-06 165046	 外观漂亮，有质感。买的白色，很漂亮。ios系统稳定流畅。音质也很好。而且个人觉得爱疯5的耳机音质比之前的几代耳机音质要好。屏幕4.0，不大不小，非常合适，毕竟手机没必要那么大屏幕。总之优点有很多了。。。	 虽然买的白色的，但是不小心摔了一次，有掉漆现象，不过不明显。有时候手机信号不稳定，同样在家，我爸的三星信号是满格的，而我这手机信号只有两个格，而且而且有通话中途掉线的情况。不知道是我的手机这样还是普遍都有这种情况？我的卡是买手机的时候一起剪的卡。	 总体还不错了，以前用过三星9300，个人觉得比安卓好用的多，苹果的系统还是最好的。
 苹果iPhone 5（32GB）	 2013-05-05 115804	 系统流畅、越狱后很人性化，总的来说都比较非常满意。	 电池不耐用是所有智能机的通病、屏幕要是5寸更好、小了点不喜欢，黑色有掉漆现象、带套没关系，其他没发现什么。	 就是价位贵了、买的时候心痛钞票，5288入手的、用了3个多月不后悔，值得买。之前用过三星，OPPO，小米，HTC，华为等、个人还是感觉苹果比较好用。
 苹果iPhone 5（32GB）	 2013-05-04 184615	 之前看到某些网站上的评论，买的时候各种怕，怕太轻，怕掉漆，但是我入手了半个月还没有这些问题，之前怕掉漆，就买了个硅胶套，总觉得不好看，就买了个moshi的套子，总体来说入手这款手机还是很不错的，ios的系统真的不错，运行流畅，无卡顿啊什么的，程序响应比我原来安卓的电话快，没有闪退的问题，屏幕还是比较清晰，耳机音质也蛮好的，电池我还是比较满意的，我一般不玩两天是完全没有问题的，就算看看电影听听音乐，一天也还是够用了。屏幕4.0的也够用了，我本来手也比较小。	 总感觉屏幕边上不是很好按，感觉不是很灵敏，我用iPhone5和4s比照相，iPhone5照相的时候看起来会泛黄，照片也泛黄，各位亲有木有这感觉？之前听朋友说iPhone5的耳机接口容易出问题，所以就买了个行货，价格相比其他的手机确实有点小贵。	 总体来说值得入手。
 苹果iPhone 5（32GB）	 2013-05-02 100220	 1. 虽然配置上看起来比S3之流都差了不少，但是不同的平台比配置是没什么意义的。即使是S4和One已经发布，但IP5现在的系统流畅度仍然是目前智能手机市场里的第一名；2. 相比4S，更薄更轻了。这点拿到手上后感觉特别明显，确实把手感提升了一个档次；3. 加大到169的屏幕。虽然很多人吐槽IP5屏幕加长，但是实际使用的时候，这多出来的一点屏幕起到的作用还是非常多的：多出了一排应用图标、看视频的时候提高了屏幕利用率、看网页刷微博的时候能看到更多的信息等等；4. 仍然优秀的屏幕和摄像头。这个就不多说了，屏幕和摄像头方面，IP的综合实力仍然在行业前列；5. 最后，夸一下附送的耳机吧。虽然比不上高端的塞子，但是作为附送的东西，还是比较不错的。	 1. 本人不是大屏党，因此觉得IP5的4寸屏大小合适。但相比4S的全方位单手操作无压力，加长屏幕的5在使用上就稍微有点不顺了，手小的用户（特别是女生）在使用的时候可能需要经常调整手的姿势，左上角的返回按钮实在是不好按啊……（当然对于用惯了大屏幕的人这点估计不算啥）；2. 相比4S来说，各方面的升级并不是特别明显。第一感觉就是长了、轻了、系统略微流畅了，除此之外就没有别的特别明显的进化了；3. 电池确实称不上耐用。1440的电池，日常使用问题不大，但如果你每天机不离手那可能就有点紧张了。平常玩玩游戏看看视频电量都不怎么掉，但一开蜂窝数据那就耗电十分厉害了，估计经常在外面走的朋友会发现电量不令人满意了。	 总体来说，还是很棒，但是距离心理预期的程度还是差了那么一点点。这次IP5相比4S，各方面都有那么一点提升，但又都不是那么的让人第一眼就印象深刻，反而是要上手使用一段时间之后，才能感受到5的优势。所以如果你已经有了一台4S，并不推荐你升级5（狂热果粉就无视这句话吧）；但如果你手上的是一台iphone4或者从来没有用过苹果的产品，那么iphone5还是一台十分值得购买的手机。
 苹果iPhone 5（32GB）	 2013-05-01 100316	 入手也有几个月了  运行流畅这是不用说的  耳机相对于4和4S是进步了很多  拍照嘛 个人觉得还行 可以抓拍 拍照速度快。因为入手的是黑的  看网上说掉漆说的好恐怖 于是开始买个硅胶套 可是拿着太没手感了 又买了个金属的只是护边框的 现在感觉还不错 至少不掉漆 。对于我这种主要就打电话  偶尔玩玩游戏的 觉得屏幕大小可以了 再大一只手就玩不过来了。下载歌曲什么的 我是用同步推直接下载的(我没越狱。。)，	 无线信号接受只能说一般(也许是我不会弄吧)，输入法是硬伤 真心用不惯。除了歌曲其它的都是在苹果商店下载的 开始确实觉得有点别扭。每次按HOME都感觉它会坏。。后面的LOGO是凸起的 贴整膜有气泡 在喧闹的地方 铃声感觉有点小。价钱是硬中硬伤。对了，以前越狱后 用手机助手下载的软件 有时会突然出现要输入apple帐号密码 和闪退  后来把第三方下载的全删尽 从itunes下载就没出现过这种情况。(大部分常用应用都是免费的)。	 总之还是很不错的手机 有缺点才能改进出更好的嘛 毕竟只是手机。价格要是再低点就好了 。
 苹果iPhone 5（32GB）	 2013-04-27 113112	 手机越狱以后下载很方便 而且和4/4s比较起来就是真的薄了很多 刚开始自己也嫌弃5的薄  用了几天习惯了就接受了  带着很方便 至于屏幕个人是不喜欢超大屏手机的  嫌麻烦 5的话能揣兜里啊 还是不错的  还有就是很喜欢5的音响 外放的时候很不错的   本人入手的是白色的  没出现过掉漆的情况 手机买来主要的还是要爱护吧  别摔就好了 坐弯至今没发现 	 5的上网真心的有点蛋疼  但是比较奇葩的就是5的信息提示超及时的  qq上别人刚回复马上就能收到提示 这点很不错   越狱后个别软件确实是会出现闪退 电池的话基本一日一充 本人比较爱拿来看电子书 用着还行  	 有很多人说小5不好 但是怎么说我自己用了觉得还是不错的  系统还算稳定 虽然下软件什么的很麻烦 但是小5有些设计还是很不错的  没必要去黑小5  这种东西自己用了就知道没别人说的那么夸张  网上要不是神话小5 要不就是黑小5  没必要不是  只是个人看法 不喜勿喷
 苹果iPhone 5（32GB）	 2013-04-26 203819	 reana显示屏， 色彩饱满，系统运行流畅。拍照一流，主要是撑面子。	 屏幕尺寸啊  硬伤，太小了 要能在4.5寸就完美了  还有就是HOME键，我就纳闷额，为什么不把实体HOME键改成虚拟的，真的很担心经常用，会用坏。唉，苹果啊悲剧的设计不够人性化。	 老桥虽然已逝，但是很希望后人能把苹果做的更精致更人性化。现在有点纠结 到底要不要入手，都是HTC ONE 惹的祸。
 苹果iPhone 5（32GB）	 2013-04-26 185846	 大小合适，系统流畅，其他人都说的差不多了，我就不多说了	 电池一天都很难撑过。照相也没想象的好，可能是我照相技术的原因。买了回去才发现上边框有点点掉漆了，幸好不明显，只能怪自己当时没有看仔细。还有就是摇晃手机时，摄像头部位有异响，拿去找老板他当时就给他认识的一个人也用苹果5的打电话，问他有没有响声，那个人说也有响声，但我没听见他们的对话，不知道那个人是不是个托，老板就说正常的，用到现在没啥影响的，不知道朋友们有没有这个情况	 还不错吧，但没有什么特别好的感觉
 苹果iPhone 5（32GB）	 2013-04-25 233932	 像素可以，速度快	 翘频，电池用半天，一百多块钱手机有的来电显示这个五千多的居然没有！掉漆！电池显示还是一格绿线时，一打电话就关机。售后模式：用了34天手机左上角翘频--电信销售员--乌市售后，售后找理由不予理睬，理睬就要钱--电信销售员--消费者--消费者打10000号投诉--10000号受理，打了几次电话没有解决实质性问题---结果？？？？？？	 苹果是我一生最最错误的选择，望大家勿要步我后程
 苹果iPhone 5（32GB）	 2013-04-23 111755	 游戏什么  无压力。 尤其是退到桌面给力，没有卡顿（至少我玩到现在没发现）。掉漆尼玛目前没看见（白色的），带了几天套子，觉得不好看 ，就脱了，不带套感觉真实舒服。不过还是怕掉漆准备淘宝上买个透明的硅胶套。   	 我感觉除了价钱，游戏收费（游戏收打1折还可以）。价钱尼玛不用说了，巨坑，史诗巨坑。  我5k 买的大陆行货。　还有不越狱下载歌曲　　电影好麻烦。	 如果苹果便宜到4千左右（行货），我认为还是不错的。买行货就不能越狱了，5555。其实买港行活着水货，然后越狱一样的好用。
 苹果iPhone 5（32GB）	 2013-04-20 105913	 iphone手机就是安全，起码比安卓手机安全，下载程序比较放心使用，电池也够用,另外游戏软件比较多，软件更新速度快，像比较出名的游戏《母猪上树》，安卓系统就没有	 屏幕太小了，5寸还差不多	 软件多，全，安全，屏幕太小
 苹果iPhone 5（32GB）	 2013-04-19 162909	 时尚、漂亮、做工堪称完美、音质超级棒、运行速度超级快，本人从09年开始使用智能手机，塞班、安卓、IOS系统的切身感受是，IOS苹果系统很强大，无比强大，但是对于改那个开始使用者有点难度，但是熟悉以后你就知道IOS系统有多么的强大！软件应用多不胜数，用起来反应速度无语伦比，光从拨打电话的反应速度就能看出，苹果不是凡品，乃天上极品	 手机电池基本是一天一冲	 总体来说苹果手机已经很完美了，除了待机时间较短外
 苹果iPhone 5（32GB）	 2013-04-19 103125	 像素提高了，大游戏毫无压力，下载速度快。手机很轻很薄。用了5再看看4真是肥啊。。。手机入手两个月了。没发现卡的问题。白色的还没发现掉漆的问题，手机不经常玩2天可以用，充电差不多2-3个小时就满了。只是越狱之后有个别游戏闪退，不过也无所谓了。	 就是上传东西到手机在电脑需要下载个东西。PP.91或itunes刚开始不懂找不到。	 已经很不错了。
 苹果iPhone 5（32GB）	 2013-04-18 153803	 优点大家都说 了 ...外观 漂亮不解释  所有智能手机  最好看的 ...金属机身  秀气 ...掉漆没遇到过  我用了3个月了   双核 没感觉速度慢  啊  四核的安卓 经常卡   而且手机发热很小  电很经用   网络连接 稳定没出现过 掉线  只是系统比较封闭 不过每个系统都有自己的优点跟缺点    这种系统很流畅   安卓比较开放  但是 很卡   目前来说  IPHONE5堪称完美  双核省电   4寸屏幕 适中     	 缺点就是  这个手机不能摔  漂亮的边边会摔出 印子   但是 现在的手机 哪个经得起摔呢？比起塑料  壳的手机 质感 真的要强很多  强烈推荐  ...	 这是是一个值得入手的  手机 对比下外观目前没有发现比这个 更简洁  更 好看的手机了  
 苹果iPhone 5（32GB）	 2013-04-18 111052	 用三个月了总体感觉不错,，充电速度快、拍照图像清晰、全景拍照、触摸感好、下载速度快等	 与电脑同步太麻烦，且第二次同步时还要小心些不然前一次的东西就没了。	 现有一问题：用摄像机拍的视频经电脑后期制作成小片如何同步到苹果上?格式已试过.mov、.mp4、.mpg2都不行，同步照片时视频同不上。这些小片做完后随时要看，原来用的手机基本都可以复制有些用自带的程序即可装入，苹果的iTunes比较麻烦好容易弄清楚了音乐和照片同步没问题了，就是视频小片不行。求助!
 苹果iPhone 5（32GB）	 2013-04-17 155540	 采用更薄更轻的工艺制作、外观大方、手感不错、画质清晰、全景拍照、玩游戏无压力，更重要的是比较省点，这么大一屏幕一天下来手机电还没完全用完，还有15%的电量，我上下班时候经常刷微博听音乐，晚上连接wifi玩下，有时候还打打游戏之类的。接听电话方面，谈对象中... ...你懂得。我的是白色iPhone5，没摔没碰过正常使用，一个月来没有出现过掉漆现象。有人估计要说没摔当然不会掉漆了，试问你，什么手机你摔了没点损伤？刚开始购机时候我就特别担心的一点就是掉漆问题，你说花四千多块买个手机用不久还掉漆多可惜多心痛呢？现在这个烦恼问题已经排除了。	 1、购机到现在出现过2次无服务现象，我关机开机之后就好了，也就开始那两个星期吧，不知道是卡的问题还是手机的问题，大家有没有遇到过这个问题。2、太过于追求工艺吧，手机边缘采用了抛光的工艺让人尤为担心，如果不戴手机套担心和硬物放一起留下划痕。3、手机加长了有些视频播放时候边缘会出现黑边，还有一点也是手机屏幕加长的原因，微博里拍照竖向拍图片加长了点，看起来不太习惯，横向拍还没觉得什么。这一点是我经常刷微博使用的感受。	 我第一部手机是iphone4，跳过了iphone4S在上个月10号入手了iphone5，在使用iphone4的时候都是戴套一族的，整一玻璃正背面壳担心摔破了，时间用久了也觉得没什么，带套也挺好看的呐。现在使用iphone5依然带着套。其实iphone5没有网上写得那么差，不知道哪里来那么多黑子，我用的就挺好的。以上只是我个人的一点使用感受，大家可以做下参考。
 苹果iPhone 5（32GB）	 2013-04-16 132109	 外观大方，画质清晰，全景拍照，玩游戏无压力。	 设置铃声麻烦，看过教程学会的。游戏有时会闪退，商店中的很多app不支持免费下载，希望可以逐渐开通改善。不支持来电归属点和九宫格输入，但是可以下载相关软件来改善。拨打长途电话不能直接添加17951，需要复制黏贴。或许我还没有学会。好像耳机声音也很小，不晓得怎么调节。	 总体很满意。正在慢慢摸索当中。因为入手的是白色，并未出现掉漆现象。SIM卡是直接到营业厅换的。无线网的连接还算正常，并未出现经常断掉的现象。商店也可以进去，稍稍有点慢，免费的APP够自己用的。我没有太多要求。
 苹果iPhone 5（32GB）	 2013-04-15 091050	 手机轻薄，携带方便，一只手能用。拍照给力，成像速度number1.也没出现掉漆算是优点吧电池充电快，耳机听音乐不错的哈，陪伴我的上下班旅途。	 2月1号入手的，4月初开始，就出现卡的现象了。悲剧来临，手机QQ打字都开始卡了，用金山电池加速了，也不好使。机体开始发热了。电池耗电也快。	 难道使用2个多月，系统不好了？问题多多
